latitude,longitude
13.78168515,100.4900323
13.76844719,100.4857153
13.76403145,100.4829352
13.76783987,100.477607
13.78410875,100.4717799
13.78016872,100.504362
13.76615727,100.4875526
13.77683819,100.4787898
13.7701757,100.4948965
13.76832606,100.4984517
13.76958824,100.4959613
13.78482903,100.4940583
13.77857054,100.4769699
13.7951379,100.5064541
13.77701143,100.5114497
13.77851714,100.508219
13.7732038,100.481763
13.7872386,100.4675862
13.78459197,100.4946041
13.77716968,100.4783908
13.78027943,100.5059659
13.77251508,100.4675004
13.77184557,100.4680348
13.77167429,100.4763057
13.78750169,100.4992376
13.76279203,100.4902388
13.76824139,100.4857314
13.79773361,100.5089942
13.77778708,100.4858796
13.76969766,100.4849347
13.78846291,100.4828973
13.7847092,100.4944392
13.78524191,100.4954195
13.78134487,100.5097385
13.76964295,100.4960418
13.7862396,100.4699023
13.76478434,100.4733308
13.76256733,100.5043593
13.78721645,100.5131207
13.76586647,100.5145675
13.77618172,100.5102897
13.76386992,100.5095185
13.77936898,100.4869947
13.76949576,100.508156
13.78723078,100.4683158
13.78739229,100.4675058
13.79334968,100.5056749
13.79249137,100.5050848
13.78756421,100.4689984
13.76662229,100.5065852
13.765923,100.467758
13.80493841,100.5124019
13.76869729,100.4975934
13.78092026,100.5027902
13.80066791,100.5111547
13.77918663,100.4765689
13.78981876,100.4785122
13.77343728,100.4818676
13.78024817,100.5042037
13.77672096,100.5110756
13.77672096,100.5110809
13.80062982,100.5111218
13.78029376,100.5042708
13.80030194,100.5108757
13.78663002,100.4897319
13.78355911,100.5151176
13.77760928,100.4847872
13.77648488,100.4843923
13.77055507,100.4795747
13.78732847,100.4987267
13.77778903,100.4775842
13.78604912,100.4888712
13.78412927,100.4939818
13.77104841,100.4838847
13.78024296,100.5041943
13.78465059,100.4945223
13.77941196,100.4763852
13.78226834,100.4737754
13.77035545,100.4840506
13.77861222,100.4769612
13.76711694,100.4842592
13.77692448,100.4784693
13.76602701,100.5102454
13.77351771,100.4821758
13.80428853,100.5057473
13.77673399,100.5110782
13.7623055,100.4723807
13.78679608,100.4665318
13.79096231,100.517081
13.78697354,100.4686376
13.77864348,100.4770142
13.77260756,100.4826173
13.76899167,100.4970637
13.77984309,100.5132093
13.76787276,100.4865494
13.77158962,100.479509
13.77654512,100.5115235
13.76598565,100.487795
13.76942868,100.4840945
13.8077261,100.5100067
13.7808877,100.5028304
13.76884318,100.4974191
13.77582483,100.4840536
13.76616476,100.4714684
13.77858617,100.4769646
13.76349608,100.4897748
13.79262292,100.5049185
13.78847854,100.4831658
13.78876899,100.5012627
13.78402409,100.4718147
13.78902036,100.501378
13.77946406,100.505982
13.78048653,100.5060531
13.78081215,100.5030209
13.78826754,100.4711039
13.80591974,100.5124794
13.78826624,100.4939349
13.76834038,100.4984222
13.77949011,100.4761183
13.76366021,100.4896809
13.77884016,100.4862054
13.78626565,100.4863607
13.77998767,100.5046624
13.76315871,100.4899585
13.76315578,100.4899297
13.79246793,100.5050245
13.7943812,100.5062221
13.7767418,100.5110514
13.78880024,100.472547
13.78028073,100.4878972
13.78281995,100.4913197
13.77709479,100.5111949
13.76342411,100.4846454
13.76650245,100.5098565
13.76286204,100.4898281
13.77853798,100.4768935
13.76286171,100.5088091
13.77854319,100.4769619
13.77672617,100.5110729
13.76959117,100.4791687
13.78469748,100.4948214
13.78445261,100.4941669
13.78800054,100.5000772
13.78873382,100.5011795
13.78722818,100.4679778
13.77175179,100.4833563
13.77304163,100.4672969
13.8080315,100.5107332
13.78805784,100.4842763
